iter	Passed	Remaining
840	37520	7093
841	37577	7051
842	37644	7010
843	37702	6968
844	37762	6926
845	37824	6885
846	37890	6844
847	37958	6803
848	38009	6760
849	38063	6717
850	38115	6673
851	38161	6629
852	38225	6587
853	38272	6543
854	38321	6498
855	38369	6454
856	38418	6410
857	38475	6367
858	38526	6323
859	38575	6279
860	38623	6235
861	38672	6191
862	38715	6146
863	38759	6100
864	38801	6055
865	38842	6010
866	38887	5965
867	38931	5920
868	38973	5875
869	39014	5829
870	39063	5785
871	39111	5741
872	39157	5696
873	39196	5650
874	39236	5605
875	39278	5560
876	39321	5514
877	39364	5469
878	39408	5424
879	39452	5379
880	39494	5334
881	39543	5290
882	39588	5245
883	39628	5200
884	39675	5155
885	39715	5110
886	39760	5065
887	39800	5019
888	39842	4974
889	39888	4930
890	39928	4884
891	39969	4839
892	40009	4793
893	40052	4748
894	40094	4703
895	40138	4658
896	40180	4613
897	40224	4568
898	40266	4523
899	40309	4478
900	40352	4433
901	40397	4389
902	40436	4343
903	40480	4298
904	40522	4253
905	40564	4208
906	40608	4163
907	40656	4119
908	40697	4074
909	40738	4029
910	40782	3984
911	40825	3939
912	40867	3894
913	40908	3849
914	40956	3804
915	40997	3759
916	41044	3714
917	41086	3670
918	41126	3624
919	41168	3579
920	41208	3534
921	41251	3489
922	41297	3445
923	41344	3400
924	41385	3355
925	41429	3310
926	41472	3265
927	41519	3221
928	41557	3176
929	41600	3131
930	41650	3086
931	41695	3042
932	41737	2997
933	41789	2953
934	41830	2908
935	41874	2863
936	41915	2818
937	41956	2773
938	41999	2728
939	42042	2683
940	42084	2638
941	42131	2594
942	42173	2549
943	42215	2504
944	42255	2459
945	42300	2414
946	42341	2369
947	42378	2324
948	42420	2279
949	42462	2234
950	42504	2190
951	42546	2145
952	42587	2100
953	42625	2055
954	42671	2010
955	42714	1965
956	42762	1921
957	42803	1876
958	42848	1831
959	42891	1787
960	42938	1742
961	42977	1697
962	43020	1652
963	43058	1608
964	43104	1563
965	43145	1518
966	43187	1473
967	43228	1429
968	43271	1384
969	43311	1339
970	43353	1294
971	43395	1250
972	43439	1205
973	43478	1160
974	43525	1116
975	43565	1071
976	43608	1026
977	43652	981
978	43698	937
979	43746	892
980	43787	848
981	43830	803
982	43871	758
983	43912	714
984	43960	669
985	44000	624
986	44046	580
987	44091	535
988	44135	490
989	44181	446
990	44224	401
991	44265	356
992	44308	312
993	44350	267
994	44390	223
995	44431	178
996	44477	133
997	44521	89
998	44563	44
999	44607	0
